From LGD,From LGD Code,To LGD,To LGD Code,No of Commuters
95LL - CRAIGAVON,95LL,95GG - BELFAST,95GG,3780
95LL - CRAIGAVON,95LL,95HH - CARRICKFERGUS,95HH,98
95LL - CRAIGAVON,95LL,95II - CASTLEREAGH,95II,347
95LL - CRAIGAVON,95LL,95JJ - COLERAINE,95JJ,27
95LL - CRAIGAVON,95LL,95KK - COOKSTOWN,95KK,102
95LL - CRAIGAVON,95LL,95LL - CRAIGAVON,95LL,19915
95LL - CRAIGAVON,95LL,95MM - DERRY,95MM,14
95LL - CRAIGAVON,95LL,95NN - DOWN,95NN,247
95LL - CRAIGAVON,95LL,95OO - DUNGANNON,95OO,875
95LL - CRAIGAVON,95LL,95PP - FERMANAGH,95PP,33
95LL - CRAIGAVON,95LL,95QQ - LARNE,95QQ,41
95LL - CRAIGAVON,95LL,95RR - LIMAVADY,95RR,7
95LL - CRAIGAVON,95LL,95SS - LISBURN,95SS,2272
95LL - CRAIGAVON,95LL,95TT - MAGHERAFELT,95TT,16
95LL - CRAIGAVON,95LL,95UU - MOYLE,95UU,2
95LL - CRAIGAVON,95LL,95VV - NEWRY & MOURNE,95VV,651
95LL - CRAIGAVON,95LL,95WW - NEWTOWNABBEY,95WW,379
95LL - CRAIGAVON,95LL,95XX - NORTH DOWN,95XX,101
95LL - CRAIGAVON,95LL,95YY - OMAGH,95YY,43
95LL - CRAIGAVON,95LL,95ZZ - STRABANE,95ZZ,5
95LL - CRAIGAVON,95LL,Mainly work at or from home,95LL,3715
95LL - CRAIGAVON,95LL,Offshore installation,95LL,36
95LL - CRAIGAVON,95LL,No fixed place,95LL,4897
95LL - CRAIGAVON,95LL,Outside UK,95LL,160
95MM - DERRY,95MM,95AA - ANTRIM,95AA,80
95MM - DERRY,95MM,95BB - ARDS,95BB,6
95MM - DERRY,95MM,95CC - ARMAGH,95CC,31
95MM - DERRY,95MM,95DD - BALLYMENA,95DD,100
95MM - DERRY,95MM,95EE - BALLYMONEY,95EE,35
95MM - DERRY,95MM,95FF - BANBRIDGE,95FF,6
95MM - DERRY,95MM,95GG - BELFAST,95GG,619
95MM - DERRY,95MM,95HH - CARRICKFERGUS,95HH,5
95MM - DERRY,95MM,95II - CASTLEREAGH,95II,41
95MM - DERRY,95MM,95JJ - COLERAINE,95JJ,376
95MM - DERRY,95MM,95KK - COOKSTOWN,95KK,155
95MM - DERRY,95MM,95LL - CRAIGAVON,95LL,36
95MM - DERRY,95MM,95MM - DERRY,95MM,26710
95MM - DERRY,95MM,95NN - DOWN,95NN,11
95MM - DERRY,95MM,95OO - DUNGANNON,95OO,208
95MM - DERRY,95MM,95PP - FERMANAGH,95PP,163
95MM - DERRY,95MM,95QQ - LARNE,95QQ,7
95MM - DERRY,95MM,95RR - LIMAVADY,95RR,1003
95MM - DERRY,95MM,95SS - LISBURN,95SS,47
95MM - DERRY,95MM,95TT - MAGHERAFELT,95TT,160
95MM - DERRY,95MM,95UU - MOYLE,95UU,8
95MM - DERRY,95MM,95VV - NEWRY & MOURNE,95VV,15
95MM - DERRY,95MM,95WW - NEWTOWNABBEY,95WW,67
95MM - DERRY,95MM,95XX - NORTH DOWN,95XX,13
95MM - DERRY,95MM,95YY - OMAGH,95YY,240
95MM - DERRY,95MM,95ZZ - STRABANE,95ZZ,438
95MM - DERRY,95MM,Mainly work at or from home,95MM,3870
95MM - DERRY,95MM,Offshore installation,95MM,45
95MM - DERRY,95MM,No fixed place,95MM,4948
95MM - DERRY,95MM,Outside UK,95MM,910
95NN - DOWN,95NN,95AA - ANTRIM,95AA,145
95NN - DOWN,95NN,95BB - ARDS,95BB,568
95NN - DOWN,95NN,95CC - ARMAGH,95CC,73
95NN - DOWN,95NN,95DD - BALLYMENA,95DD,43
95NN - DOWN,95NN,95EE - BALLYMONEY,95EE,2
95NN - DOWN,95NN,95FF - BANBRIDGE,95FF,202
95NN - DOWN,95NN,95GG - BELFAST,95GG,5249
95NN - DOWN,95NN,95HH - CARRICKFERGUS,95HH,48
95NN - DOWN,95NN,95II - CASTLEREAGH,95II,1383
95NN - DOWN,95NN,95JJ - COLERAINE,95JJ,16
95NN - DOWN,95NN,95KK - COOKSTOWN,95KK,13
95NN - DOWN,95NN,95LL - CRAIGAVON,95LL,320
95NN - DOWN,95NN,95MM - DERRY,95MM,11
95NN - DOWN,95NN,95NN - DOWN,95NN,11346
95NN - DOWN,95NN,95OO - DUNGANNON,95OO,35
